date,mortgage_rate
2019-09-01,3.605
2019-10-01,3.6879999999999997
2019-11-01,3.6950000000000003
2019-12-01,3.72
2020-01-01,3.624
2020-02-01,3.4650000000000003
2020-03-01,3.45
2020-04-01,3.306
2020-05-01,3.2325
2020-06-01,3.1625
2020-07-01,3.016
2020-08-01,2.935
2020-09-01,2.89
2020-10-01,2.834
2020-11-01,2.765
2020-12-01,2.684
2021-01-01,2.735
2021-02-01,2.81
2021-03-01,3.0825
2021-04-01,3.06
2021-05-01,2.9625
2021-06-01,2.975
2021-07-01,2.868
2021-08-01,2.8425000000000002
2021-09-01,2.9
2021-10-01,3.0675
2021-11-01,3.0675
2021-12-01,3.098
2022-01-01,3.4450000000000003
2022-02-01,3.7625
2022-03-01,4.172
2022-04-01,4.9825
2022-05-01,5.2299999999999995
2022-06-01,5.522
2022-07-01,5.4125
2022-08-01,5.2225
2022-09-01,6.112
2022-10-01,6.9
2022-11-01,6.805
2022-12-01,6.364
2023-01-01,6.2725
2023-02-01,6.2575
2023-03-01,6.544
2023-04-01,6.342499999999999
2023-05-01,6.425
2023-06-01,6.714
2023-07-01,6.84
2023-08-01,7.072
2023-09-01,7.2
2023-10-01,7.62
2023-11-01,7.442
2023-12-01,6.815
2024-01-01,6.6425
2024-02-01,6.776000000000001
2024-03-01,6.82
2024-04-01,6.9925
2024-05-01,7.06
2024-06-01,6.9175
2024-07-01,6.8475
2024-08-01,6.5
2024-09-01,6.35
